unique_id,age,gender,bfi_e_mean,bfi_c_mean,bfi_n_mean,bfi_a_mean,bfi_o_mean,bfi_a2,bfi_a4,bfi_a5,bfi_a7,bfi_a9,bfi_c1,bfi_c3,bfi_c6,bfi_c7,bfi_c8,bfi_e1,bfi_e3,bfi_e4,bfi_e6,bfi_e8,bfi_n1,bfi_n3,bfi_n4,bfi_n6,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o8,bfi_e2_rev,bfi_e5_rev,bfi_e7_rev,bfi_c2_rev,bfi_c4_rev,bfi_c5_rev,bfi_c9_rev,bfi_n2_rev,bfi_n5_rev,bfi_n7_rev,bfi_a1_rev,bfi_a3_rev,bfi_a6_rev,bfi_a8_rev,bfi_o7_rev,bfi_o9_rev,exclude_bfi_logical_scores,exclude_bfi_completeness,iat_mean1,iat_mean2,iat_SD,iat_D,exclude_iat_performance,exclude_iat_completeness,exclude_participant_without_iat,exclude_participant_without_bfi,exclude_unique_id_is.na,exclude_participant
440109,46,f,2.625,4.777777777777778,3.875,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,5,2,2,4,4,3,3,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,3,3,5,4,3,2,NA,NA,NA,NA,NA,NA,include,include,797,666.55,326.25872430032103,-0.3998360512190346,include,include,include,include,include,include
355243,27,m,NA,NA,NA,4.222222222222222,4.4,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,3,include,include,1017.6,895.4375,355.7216359499561,-0.3434216186309966,include,include,include,include,include,include
214625,20,f,NA,NA,NA,4.333333333333333,4.2,4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,5,3,5,include,include,708.475,642.7375,172.67040785235656,-0.3807108630693079,include,include,include,include,include,include
214148,20,m,NA,NA,NA,3.5555555555555554,3.8,4,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,3,2,5,include,include,736.45,766.2375,255.9658523651755,0.11637294476883331,include,include,include,include,include,include
213400,29,f,NA,NA,NA,5,3,4,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,3,1,include,include,926.475,807.4625000000001,465.05895412552263,-0.255908415361631,include,include,include,include,include,include
216503,33,f,NA,NA,NA,3.3333333333333335,4.8,5,2,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,3,5,3,include,include,1014.9249999999998,1406.3625,1845.6137153463362,0.2120906973898086,include,include,include,include,include,include
369479,28,f,4.875,4.222222222222222,3,NA,NA,NA,NA,NA,NA,NA,5,5,6,4,6,6,4,5,5,6,2,4,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,4,2,3,3,2,3,1,NA,NA,NA,NA,NA,NA,include,include,697.425,644.3625,342.6588535496585,-0.15485518453796532,include,include,include,include,include,include
220525,33,f,4,5,4.25,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,6,6,3,5,6,5,4,5,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,5,3,5,3,5,4,4,NA,NA,NA,NA,NA,NA,include,include,610.825,644.425,195.22219456839645,0.17211157816499234,include,include,include,include,include,include
225948,23,m,NA,NA,NA,3.5555555555555554,5.3,5,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,4,6,include,include,905.15,734.775,329.8252334098129,-0.5165614475236541,include,include,include,include,include,include
227399,16,m,NA,NA,NA,2.3333333333333335,3.9,3,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,3,include,include,718.5,749.775,308.7734381945018,0.10128785747529004,include,include,include,include,include,include
